"address","age","liquidityUsd","makerCount","marketCapUsd","priceChange1h","priceChange24h","priceChange5m","priceChange6h","priceUsd","tokenName","tokenSymbol","transactionCount","volumeUsd"
"fjiikyu55z5ucgpgfghcbtxdxck1nuhqgqpl3pha3fgb","48","178000","5165","1600000","0.1769","0.2711","0.0166","0.1649","0.001612","We don't need a job","#15
LockedIn
/
SOL
We don't need a job
50","25118","3200000"
"fv8pvyrlciju2qwqgdbbgq539bf4qhnijltzis94tqxz","24","190000","5881","2300000","-0.1686","49.4","0.0144","20.9","0.002374","Decentralized Retirement Account","#16
DRA
/
SOL
Decentralized Retirement Account
100","35418","6900000"
"4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama","288","1000000","3523","25400000","-0.0385","-0.061900000000000004","-0.0026","-0.1288","0.02546","TROLL","#17
TROLL
/
SOL
TROLL","19947","5100000"
"any6m193bzqppkpggks8nn4nf9cq7yjhroypdxws9g5k","192","130000","4678","500000","0.2952","-0.2829","0.0942","0.207","0.0005003","100 Men vs 1 Gorilla","#18
MvG
/
SOL
100 Men vs 1 Gorilla","25629","4400000"
"2fd7xjwxayqe4pbfcicjobqoiwkhqhm2xyazzwt9esyj","12","101000","5161","763000","-0.0166","11.43","-0.01","-0.023700000000000002","0.0007639","Stadium Coin","#19
Stadium
/
SOL
Stadium Coin
500","25465","4000000"
"8qdz7ngk8mf53mtzo2a5gjdqueu4wyhbn5aqhcfvst5r","3","103000","12401","483000","-0.1838","6.81","0.19219999999999998","6.81","0.0004834","justice for cat","#20
10waz2
/
SOL
justice for cat
10","96276","22500000"
"6gqkmvs8vhaqlavqww2rmrpgreslfxcqvb2eshgcubgh","2","104000","95941","555000","1.26","7.95","-0.1241","7.95","0.0005551","Goldcoin","#21
GOLD
/
SOL
Goldcoin
5000","105718","11400000"
"54skoazdukkws7r2bueyvdxai4sbrxvaonecerypdq2m","24","92000","3996","264000","0.0556","-0.6652","0.0039000000000000003","-0.3513","0.0002642","db cult","#22
CPMM
db
/
SOL
db cult","14521","3700000"
"j333lz5uhejwxb64dcd756viufxr164dvnxqpxumph9v","144","917000","3308","29900000","-0.0124","0.06280000000000001","0.0019","0.067","0.0299","Hosico cat","#23
Hosico
/
SOL
Hosico cat","18367","6100000"
"cspvtkvjydvjqxk7lqavvjjkvzkfvkhhcgma7dkie6ei","24","112000","3804","350000","0.46490000000000004","-0.2875","-0.07200000000000001","-0.6047","0.0003505","poop","#24
CPMM
poop
/
SOL
poop
10","12800","2800000"
